"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","pp_age_class","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","mean_n_at_risk","sd_n_at_risk","med_n_at_risk","iqr_n_at_risk","mean_n_at_risk_u65","sd_n_at_risk_u65","med_n_at_risk_u65","iqr_n_at_risk_u65","mean_n_at_risk_65_85","sd_n_at_risk_65_85","med_n_at_risk_65_85","iqr_n_at_risk_65_85","mean_n_at_risk_o85","sd_n_at_risk_o85","med_n_at_risk_o85","iqr_n_at_risk_o85","mean_cum_cancer","sd_cum_cancer","med_cum_cancer","iqr_cum_cancer","mean_cum_censored","sd_cum_censored","med_cum_censored","iqr_cum_censored","mean_cum_other","sd_cum_other","med_cum_other","iqr_cum_other","se_calibration_ratio"
1e-04,Inf,0.7828105,0.00292552904466227,1.272,433.107,1,"<65",0.000286779549349855,0.000286779549349855,0.00319254244047812,0.00318122455504667,0.00318122695343447,0.00318211589443841,0.933,1940.786,7.41452487885631,1941,10,914.918,22.2428869983647,915,30,993.992,22.504007784534,994,29,31.876,5.7687001917158,32,7,0.196,0.426339965011217,0,0,0,0,0,0,59.018,7.41232882558637,59,10,1.0002794333812
1e-04,Inf,0.7828105,0.00292552904466227,1.272,433.107,4,"<65",0.00130248167840036,0.00130248167840036,0.0068515760585503,0.00673002605195482,0.0067300021465393,0.00684157765841417,0.936,1757.641,14.3697811260161,1758,19,885.394,22.1288601254211,885,31,855.318,22.278222442448,856,31,16.929,4.12952927244886,17,5,0.764,0.888309120235233,1,1,0,0,0,0,241.595,14.3593581390731,242,19.25,1.0165788226282
1e-04,Inf,0.7828105,0.00292552904466227,1.272,433.107,7,"<65",0.00244344000196921,0.00244344000196921,0.0101894896645925,0.00989717127723962,0.00989713361713634,0.00972853562375384,0.931,1565.621,17.7573275489777,1565,23,849.937,21.9305718343362,850,30,707.944,21.5814416252164,707,29,7.74,2.78139104336951,8,4,1.272,1.15557403542627,1,2,0,0,0,0,433.107,17.7141000431955,433,23,0.982964967443647
1e-04,Inf,0.7828105,0.00292552904466227,1.272,433.107,1,">=65",0.0025325885779902,0.0025325885779902,0.00725350196565789,0.0068003942267503,0.00680040670782478,0.00684955791527158,0.917,1940.786,7.41452487885631,1941,10,914.918,22.2428869983647,915,30,993.992,22.504007784534,994,29,31.876,5.7687001917158,32,7,0.196,0.426339965011217,0,0,0,0,0,0,59.018,7.41232882558637,59,10,1.00722768645444
1e-04,Inf,0.7828105,0.00292552904466227,1.272,433.107,4,">=65",0.011962271206439,0.011962271206439,0.0199493982315358,0.0159729713699174,0.0159730302409744,0.0160765593407744,0.86,1757.641,14.3697811260161,1758,19,885.394,22.1288601254211,885,31,855.318,22.278222442448,856,31,16.929,4.12952927244886,17,5,0.764,0.888309120235233,1,1,0,0,0,0,241.595,14.3593581390731,242,19.25,1.00648149400822
1e-04,Inf,0.7828105,0.00292552904466227,1.272,433.107,7,">=65",0.0246068650655812,0.0246068650655812,0.0356956712347137,0.0258717939907299,0.0258718474220546,0.0267049884808995,0.847,1565.621,17.7573275489777,1565,23,849.937,21.9305718343362,850,30,707.944,21.5814416252164,707,29,7.74,2.78139104336951,8,4,1.272,1.15557403542627,1,2,0,0,0,0,433.107,17.7141000431955,433,23,1.03220261179087
2e-04,Inf,0.7823025,0.00569168645239911,2.48,432.915,1,"<65",0.000285309582814495,0.000285309582814495,0.0032259877507206,0.00321494901594562,0.00321495432955037,0.00319594932511061,0.934,1940.586,7.46151983702237,1941,10,914.841,22.2481167224936,915,31,993.873,22.51541282799,994,29,31.872,5.7682656742637,32,7,0.397,0.635448498931892,0,1,0,0,0,0,59.017,7.41131827940473,59,10,0.994088561611878
2e-04,Inf,0.7823025,0.00569168645239911,2.48,432.915,4,"<65",0.00128783037927598,0.00128783037927598,0.00687959690638032,0.00676141321431681,0.00676136543688201,0.00686773530684394,0.938,1756.934,14.4427226046974,1757,19,885.089,22.156850069561,885,30,854.926,22.3302746325513,855,30.25,16.919,4.12764781400697,17,5,1.523,1.25500838485089,1,1,0,0,0,0,241.543,14.3534725127118,241,19.25,1.01573201019157
2e-04,Inf,0.7823025,0.00569168645239911,2.48,432.915,7,"<65",0.00246757784137547,0.00246757784137547,0.0102162106437918,0.00991876695664331,0.0099186894252715,0.00975668060550001,0.928,1564.605,17.7877873941753,1564,23,849.466,21.881948351636,850,30,707.409,21.5945836969608,706,29,7.73,2.78295613419343,8,4,2.48,1.61747216860638,2,2,0,0,0,0,432.915,17.7118458802149,433,23,0.983666307833098
2e-04,Inf,0.7823025,0.00569168645239911,2.48,432.915,1,">=65",0.00253066294482887,0.00253066294482887,0.00726322047338445,0.00681147270780243,0.00681149860294187,0.00685730922608269,0.913,1940.586,7.46151983702237,1941,10,914.841,22.2481167224936,915,31,993.873,22.51541282799,994,29,31.872,5.7682656742637,32,7,0.397,0.635448498931892,0,1,0,0,0,0,59.017,7.41131827940473,59,10,1.00672548374612
