"lambda","borne_a","pp_age_class","time_t","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","mean_n_patients","mean_n_at_risk","sd_n_at_risk","med_n_at_risk","iqr_n_at_risk","mean_cum_cancer","sd_cum_cancer","med_cum_cancer","iqr_cum_cancer","mean_cum_other","sd_cum_other","med_cum_other","iqr_cum_other","mean_cum_total_deaths","sd_cum_total_deaths","med_cum_total_deaths","iqr_cum_total_deaths","mean_cum_censored","sd_cum_censored","med_cum_censored","iqr_cum_censored","se_calibration_ratio"
1e-04,Inf,"<65",1,0.920121821368602,0.00706296826190174,0.52,73.275,0.000286779549349855,0.000286779549349855,0.00319254244047812,0.00318122455504667,0.00318122695343447,0.00318211589443841,0.933,923.732,914.918,22.2428869983647,915,30,0.067,0.258026311793153,0,0,8.747,2.92874863526534,9,4,8.814,2.93837336600338,9,4,0,0,0,0,1.0002794333812
1e-04,Inf,"<65",4,0.920121821368602,0.00706296826190174,0.52,73.275,0.00130248167840036,0.00130248167840036,0.0068515760585503,0.00673002605195482,0.0067300021465393,0.00684157765841417,0.936,923.732,885.394,22.1288601254211,885,31,0.291,0.557341573570131,0,0,38.047,6.0346671994575,38,8,38.338,6.07211879220315,38,8,0,0,0,0,1.0165788226282
1e-04,Inf,"<65",7,0.920121821368602,0.00706296826190174,0.52,73.275,0.00244344000196921,0.00244344000196921,0.0101894896645925,0.00989717127723962,0.00989713361713634,0.00972853562375384,0.931,923.732,849.937,21.9305718343362,850,30,0.52,0.748438481212825,0,1,73.275,8.64210975752224,73,12,73.795,8.66833981308504,74,12,0,0,0,0,0.982964967443647
1e-04,Inf,">=65",1,0.664959650935437,0.00208524211994746,0.752,359.832,0.0025325885779902,0.0025325885779902,0.00725350196565789,0.0068003942267503,0.00680040670782478,0.00684955791527158,0.917,1076.268,1025.868,22.760285732095,1026,30,0.129,0.34710154058932,0,0,50.271,6.88061784303575,50,9,50.4,6.88501295593577,50,9,0,0,0,0,1.00722768645444
1e-04,Inf,">=65",4,0.664959650935437,0.00208524211994746,0.752,359.832,0.011962271206439,0.011962271206439,0.0199493982315358,0.0159729713699174,0.0159730302409744,0.0160765593407744,0.86,1076.268,872.247,22.3748211975788,872,32,0.473,0.689743971881413,0,1,203.548,13.2726734254957,203,19,204.021,13.28318493442,204,19,0,0,0,0,1.00648149400822
1e-04,Inf,">=65",7,0.664959650935437,0.00208524211994746,0.752,359.832,0.0246068650655812,0.0246068650655812,0.0356956712347137,0.0258717939907299,0.0258718474220546,0.0267049884808995,0.847,1076.268,715.684,21.5314594894946,715,28,0.752,0.849245086660628,1,1,359.832,16.6344365844017,360,22,360.584,16.6505310481133,360,23,0,0,0,0,1.03220261179087
1e-04,Inf,"Overall",1,0.7828105,0.00292552904466227,1.272,433.107,0.00151222980543294,0.00151222980543294,0.00420664768865743,0.00392736254722227,0.00392739993663868,0.0039751871085803,0.911,2000,1940.786,7.41452487885631,1941,10,0.196,0.426339965011217,0,0,59.018,7.41232882558637,59,10,59.214,7.41452487885631,59,10,0,0,0,0,1.01216763576732
1e-04,Inf,"Overall",4,0.7828105,0.00292552904466227,1.272,433.107,0.00711120189291048,0.00711120189291048,0.011586708319374,0.00915229603999679,0.00915239770225363,0.00920005576305164,0.863,2000,1757.641,14.3697811260161,1758,19,0.764,0.888309120235233,1,1,241.595,14.3593581390731,242,19.25,242.359,14.3697811260161,242,19,0,0,0,0,1.00520716672815
1e-04,Inf,"Overall",7,0.7828105,0.00292552904466227,1.272,433.107,0.0145142785292811,0.0145142785292811,0.0205132868441227,0.0145029460182922,0.0145031374854074,0.0150212951743409,0.827,2000,1565.621,17.7573275489777,1565,23,1.272,1.15557403542627,1,2,433.107,17.7141000431955,433,23,434.379,17.7573275489777,435,23,0,0,0,0,1.03572728242113
2e-04,Inf,"<65",1,0.919613184111176,0.0137468288230265,1.02,73.246,0.000285309582814495,0.000285309582814495,0.0032259877507206,0.00321494901594562,0.00321495432955037,0.00319594932511061,0.934,923.732,914.841,22.2481167224936,915,31,0.144,0.378691704962503,0,0,8.747,2.92874863526534,9,4,8.891,2.96848967169012,9,4,0,0,0,0,0.994088561611878
2e-04,Inf,"<65",4,0.919613184111176,0.0137468288230265,1.02,73.246,0.00128783037927598,0.00128783037927598,0.00687959690638032,0.00676141321431681,0.00676136543688201,0.00686773530684394,0.938,923.732,885.089,22.156850069561,885,30,0.604,0.812307727307727,0,1,38.039,6.03406072963215,38,8,38.643,6.0966154315095,38,8,0,0,0,0,1.01573201019157
2e-04,Inf,"<65",7,0.919613184111176,0.0137468288230265,1.02,73.246,0.00246757784137547,0.00246757784137547,0.0102162106437918,0.00991876695664331,0.0099186894252715,0.00975668060550001,0.928,923.732,849.466,21.881948351636,850,30,1.02,1.04914284094241,1,2,73.246,8.6451270795878,73,12,74.266,8.70051394705755,74,12,0,0,0,0,0.983666307833098
2e-04,Inf,">=65",1,0.664453492950347,0.00403642946933617,1.46,359.669,0.00253066294482887,0.00253066294482887,0.00726322047338445,0.00681147270780243,0.00681149860294187,0.00685730922608269,0.913,1076.268,1025.745,22.7726275947148,1026,30,0.253,0.503233786866745,0,0,50.27,6.87898396715826,50,9,50.523,6.89383753768509,50,9,0,0,0,0,1.00672548374612
2e-04,Inf,">=65",4,0.664453492950347,0.00403642946933617,1.46,359.669,0.0119586239799524,0.0119586239799524,0.0199883257091481,0.0160242760726761,0.0160243957271255,0.0160868111955994,0.864,1076.268,871.845,22.4198488983451,872,31,0.919,0.928062659684302,1,1,203.504,13.2653667101198,203,19,204.423,13.3138773589939,204,19,0,0,0,0,1.00389502790225
2e-04,Inf,">=65",7,0.664453492950347,0.00403642946933617,1.46,359.669,0.0246181748758429,0.0246181748758429,0.0357718381540954,0.0259661048009894,0.0259662110216341,0.0267088423039916,0.846,1076.268,715.139,21.5448336929961,714,28,1.46,1.18313135356975,1,1,359.669,16.6190141293228,359,22,361.129,16.6991383077158,361,22,0,0,0,0,1.02859990938758
2e-04,Inf,"Overall",1,0.7823025,0.00569168645239911,2.48,432.915,0.00151060389963683,0.00151060389963683,0.00422998584616832,0.00395295754513987,0.00395303460644934,0.00398140830666563,0.912,2000,1940.586,7.46151983702237,1941,10,0.397,0.635448498931892,0,1,59.017,7.41131827940473,59,10,59.414,7.46151983702237,59,10,0,0,0,0,1.00717770094145
2e-04,Inf,"Overall",4,0.7823025,0.00569168645239911,2.48,432.915,0.00710267904012352,0.00710267904012352,0.0116181413957543,0.00919859008901753,0.00919879218824151,0.00920954245501483,0.861,2000,1756.934,14.4427226046974,1757,19,1.523,1.25500838485089,1,1,241.543,14.3534725127118,241,19.25,243.066,14.4427226046974,243,19,0,0,0,0,1.00116866068429
