"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","se_calibration_ratio"
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,1,0.00151222980543294,0.00151222980543294,0.00420664768865743,0.00392736254722227,0.00392739993663868,0.0039751871085803,0.911,1.01216763576732
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,4,0.00711120189291048,0.00711120189291048,0.011586708319374,0.00915229603999679,0.00915239770225363,0.00920005576305164,0.863,1.00520716672815
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,7,0.0145142785292811,0.0145142785292811,0.0205132868441227,0.0145029460182922,0.0145031374854074,0.0150212951743409,0.827,1.03572728242113
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,7.5,0.0150104830771476,0.0150104830771476,0.0215204657984568,0.0154287785474256,0.015428995426569,0.0163033246289278,0.85,1.05666792802681
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,8,0.0175683754435595,0.0175683754435595,0.0243258185586388,0.0168336882881572,0.016833924492993,0.0176324465061657,0.828,1.04743528542647
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,8.5,0.0183220931225485,0.0183220931225485,0.0261401275335351,0.0186533507247697,0.0186535553234322,0.0191631908355271,0.829,1.02732109258843
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,9,0.0210264108934372,0.0210264108934372,0.0295423575758206,0.0207621179751072,0.0207622736733257,0.0208627240554211,0.817,1.00483812051011
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,9.5,0.022004634611527,0.022004634611527,0.0318192166595316,0.0229951335188253,0.0229953776188005,0.0228329741998965,0.826,0.99293756242684
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,10,0.0258287889288122,0.0258287889288122,0.0366992520611817,0.026084047613111,0.0260842702308209,0.0248524781100479,0.785,0.952776439215173
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,10.5,0.0271635849994609,0.0271635849994609,0.0407910988883978,0.0304461094487499,0.0304463524724883,0.0274461887930231,0.787,0.901460653384467
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,11,0.0313851650188042,0.0313851650188042,0.0467383727073745,0.0346502196304834,0.0346503614356835,0.0304459449960055,0.794,0.878661685896638
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,11.5,0.0320690523450364,0.0320690523450364,0.0509186835276606,0.0395707118632092,0.0395708739851589,0.0340765545171432,0.812,0.861152435751701
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,12,0.0364174298372069,0.0364174298372069,0.0579084634160933,0.0450463942533778,0.0450465329342283,0.0383577928486844,0.822,0.851514874733868
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,12.5,0.037375494142737,0.037375494142737,0.0640581292458454,0.0520501572866262,0.05205022176369,0.0430660855457275,0.849,0.827394852249605
1e-04,Inf,0.5812425,0.00240061973776246,2.01,835.505,13,0.0417281598766395,0.0417281598766395,0.0754321435674334,0.0628704835116073,0.0628706742302455,0.0481844827270094,0.851,0.766406330406888
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,1,0.00151060389963683,0.00151060389963683,0.00422998584616832,0.00395295754513987,0.00395303460644934,0.00398140830666563,0.912,1.00717770094145
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,4,0.00710267904012352,0.00710267904012352,0.0116181413957543,0.00919859008901753,0.00919879218824151,0.00920954245501483,0.861,1.00116866068429
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,7,0.0145293436323614,0.0145293436323614,0.0205661683667608,0.0145625000910776,0.0145628820099302,0.015027816223162,0.824,1.0319259754295
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,7.5,0.0150433912255216,0.0150433912255216,0.021571219774987,0.0154673785833172,0.0154678103225008,0.0163069940207717,0.852,1.05425355501355
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,8,0.0175825113620546,0.0175825113620546,0.0243558671853863,0.0168621593402767,0.0168626186716021,0.0176351346220824,0.828,1.04581233588478
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,8.5,0.0183062989716486,0.0183062989716486,0.0261305878958001,0.0186553000089075,0.0186556982398828,0.019168550035361,0.831,1.02749035650576
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,9,0.0209885107149903,0.0209885107149903,0.029517766463847,0.0207653469740126,0.020765648729286,0.0208658510374108,0.814,1.00482538780421
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,9.5,0.0219744695025475,0.0219744695025475,0.031782636212949,0.0229731157870431,0.0229736031385465,0.0228262630060726,0.828,0.993586546629831
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,10,0.0258010212384069,0.0258010212384069,0.036656273141901,0.0260508302873,0.0260512635402003,0.0248427580873789,0.789,0.953610486072718
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,10.5,0.0271176831649444,0.0271176831649444,0.0407036884005378,0.0303696435187078,0.0303701144717433,0.0274347798677222,0.784,0.903347924264422
