"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr"
0.004,Inf,0.7622215,0.104151081459037,49.542,426.015,1,0.00146766019521932,0.00146766019521932,0.00447019138075526,0.00422306915979765,0.00422450363509257,0.0042120427872744,0.919
0.004,Inf,0.7622215,0.104151081459037,49.542,426.015,4,0.00693755092898228,0.00693755092898228,0.0118457354378778,0.00960248345842439,0.00960646237130309,0.00954767346163407,0.868
0.004,Inf,0.7622215,0.104151081459037,49.542,426.015,7,0.013851762438737,0.013851762438737,0.0202203015250341,0.0147302048027358,0.0147379265021127,0.0152381269862615,0.847
0.005,Inf,0.757101,0.126712383176617,61.578,424.22,1,0.00143690841120888,0.00143690841120888,0.00449251702381158,0.00425702426932425,0.00425865466627674,0.00427137210759627,0.922
0.005,Inf,0.757101,0.126712383176617,61.578,424.22,4,0.00685585581226978,0.00685585581226978,0.0118470880445022,0.00966185233360275,0.00966665300897628,0.00963292864049088,0.865
0.005,Inf,0.757101,0.126712383176617,61.578,424.22,7,0.0137860510794457,0.0137860510794457,0.0202938387931131,0.0148907870484404,0.0148998891033143,0.0152898863216053,0.846
0.007,Inf,0.747003,0.168600406054766,85.333,420.661,1,0.00144194005617813,0.00144194005617813,0.00459746047942233,0.00436562348960287,0.00436766851563871,0.00438330900986427,0.93
0.007,Inf,0.747003,0.168600406054766,85.333,420.661,4,0.00669799800540958,0.00669799800540958,0.0120214636492562,0.00998151059454482,0.00998760047023665,0.00979657283824268,0.877
0.007,Inf,0.747003,0.168600406054766,85.333,420.661,7,0.0137076337076603,0.0137076337076603,0.0203123934230111,0.0149863242735632,0.0149973005481497,0.0153924027881438,0.843
0.01,Inf,0.732068,0.22480215635923,120.477,415.387,1,0.00141056757080472,0.00141056757080472,0.00472764593336864,0.00451182278892558,0.0045145671460293,0.00454701766577154,0.925
0.01,Inf,0.732068,0.22480215635923,120.477,415.387,4,0.00674908193364958,0.00674908193364958,0.012229307346275,0.0101956109304438,0.0102034288934517,0.0100223804078889,0.879
0.01,Inf,0.732068,0.22480215635923,120.477,415.387,7,0.0135459923845051,0.0135459923845051,0.0202902983838227,0.0150938001669642,0.0151139250214178,0.0155296340854829,0.853
0.014,Inf,0.7123985,0.289945202012359,166.777,408.426,1,0.00142779205790747,0.00142779205790747,0.00504283700819599,0.00483504119806554,0.00483890793057359,0.00475085377867986,0.923
0.014,Inf,0.7123985,0.289945202012359,166.777,408.426,4,0.00692676247254625,0.00692676247254625,0.0126226793391575,0.010547866347824,0.0105576256235446,0.0102995603917377,0.878
0.014,Inf,0.7123985,0.289945202012359,166.777,408.426,7,0.012992474235653,0.012992474235653,0.019958797115854,0.0151258672967112,0.0151584621423888,0.015684096056402,0.863
0.019,Inf,0.6885235,0.357559662701327,222.75,400.203,1,0.00139848766490553,0.00139848766490553,0.00525270057074843,0.00506016856861208,0.00506564470658388,0.00499338894706392,0.928
0.019,Inf,0.6885235,0.357559662701327,222.75,400.203,4,0.00662698790399903,0.00662698790399903,0.0126162495768942,0.0107208366500911,0.0107409567944198,0.010624433743289,0.882
0.019,Inf,0.6885235,0.357559662701327,222.75,400.203,7,0.0122587595398912,0.0122587595398912,0.0195973154900966,0.015260263854894,0.0152974377123121,0.0158382652273929,0.882
0.03,Inf,0.6392795,0.469411833748122,338.653,382.788,1,0.00126916063589454,0.00126916063589454,0.00585203392318173,0.00570864975060815,0.00571561024903592,0.00547919926160844,0.931
0.03,Inf,0.6392795,0.469411833748122,338.653,382.788,4,0.00626910862434462,0.00626910862434462,0.0130486749174354,0.0114306116227399,0.0114497725500782,0.0112222645453168,0.904
0.03,Inf,0.6392795,0.469411833748122,338.653,382.788,7,0.0113454031499338,0.0113454031499338,0.0192031060904813,0.0154599664720251,0.0155010126211171,0.0160463090362053,0.897
