"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","dispersion","mean_sd","ecr"
0.004,Inf,0.7625284,0.103901489447699,123.363,1063.995,1,0.00158091400760462,0.00158091400760462,0.00303230845364334,0.00258888156669299,0.00265567311365343,0.905
0.004,Inf,0.7625284,0.103901489447699,123.363,1063.995,4,0.00703247705893695,0.00703247705893695,0.00930445148740765,0.00609542764169857,0.00598176172604526,0.784
0.004,Inf,0.7625284,0.103901489447699,123.363,1063.995,7,0.0141047979214758,0.0141047979214758,0.0169987787535983,0.00949227359309039,0.00950170975304913,0.696
0.005,Inf,0.7573138,0.126846368320202,153.916,1059.515,1,0.00158922243258481,0.00158922243258481,0.00306776225412862,0.00262534373699196,0.00268899159246558,0.905
0.005,Inf,0.7573138,0.126846368320202,153.916,1059.515,4,0.00698285026229321,0.00698285026229321,0.00931192536573251,0.00616358223578963,0.00600972141834805,0.781
0.005,Inf,0.7573138,0.126846368320202,153.916,1059.515,7,0.0139008755179822,0.0139008755179822,0.0168766805091313,0.00957495088892781,0.00946591324975091,0.702
0.007,Inf,0.7470676,0.169317663852195,214.127,1050.535,1,0.00153651470447941,0.00153651470447941,0.00310628999999429,0.00270101010412136,0.00275588260399609,0.905
0.007,Inf,0.7470676,0.169317663852195,214.127,1050.535,4,0.00689713134919744,0.00689713134919744,0.00930499251074052,0.00624912124167456,0.00606184567291843,0.797
0.007,Inf,0.7470676,0.169317663852195,214.127,1050.535,7,0.0136443797430463,0.0136443797430463,0.0166902604458643,0.00961707769344158,0.00939130942890843,0.714
0.01,Inf,0.7320006,0.225588869301483,302.293,1037.704,1,0.00151091522899813,0.00151091522899813,0.00320489652815782,0.00282780717525081,0.00284975722347489,0.912
0.01,Inf,0.7320006,0.225588869301483,302.293,1037.704,4,0.00672334346684116,0.00672334346684116,0.00929282748000531,0.00641829336270288,0.00612832079428002,0.811
0.01,Inf,0.7320006,0.225588869301483,302.293,1037.704,7,0.0132948807709548,0.0132948807709548,0.0164565533153089,0.00970352774801293,0.00927249189811077,0.735
0.014,Inf,0.7123832,0.290283861022946,417.457,1020.627,1,0.00150833529089456,0.00150833529089456,0.0033324129365825,0.00297300174394734,0.00296617198438018,0.917
0.014,Inf,0.7123832,0.290283861022946,417.457,1020.627,4,0.0066221221605784,0.0066221221605784,0.00931030621328586,0.00654768447984273,0.00619907359454658,0.812
0.014,Inf,0.7123832,0.290283861022946,417.457,1020.627,7,0.0128461975626249,0.0128461975626249,0.0160943062435531,0.00970030915182211,0.00910030756009084,0.756
0.018,Inf,0.6908,0.349607646926296,21.63,40.21,1,0.000171591973628998,-0.000171591973628998,0.0162491079126509,0.0163300573137471,0.0152232585042231,0.95
0.018,Inf,0.6908,0.349607646926296,21.63,40.21,4,0.00488373555202863,0.00488373555202863,0.0315109037730647,0.0312869770508917,0.0308245057281922,0.95
0.018,Inf,0.6908,0.349607646926296,21.63,40.21,7,0.00791257234382333,0.00791257234382333,0.0446149862575672,0.0441289226678481,0.0427652973700945,0.97
0.019,Inf,0.6886122,0.357877899134775,557.197,999.742,1,0.00149655509227471,0.00149655509227471,0.00343569239901043,0.00309416854670202,0.0031012058864277,0.907
0.019,Inf,0.6886122,0.357877899134775,557.197,999.742,4,0.00651132840503227,0.00651132840503227,0.00939585422749601,0.00677721252993076,0.00626296880482926,0.833
0.019,Inf,0.6886122,0.357877899134775,557.197,999.742,7,0.0123627974036029,0.0123627974036029,0.0158150021722315,0.00986777112483493,0.00886865396322568,0.77
0.03,Inf,0.6393396,0.46987890041078,847.337,955.965,1,0.00144742254074778,0.00144742254074778,0.00375842600380381,0.00347027042049973,0.00336323686060456,0.918
0.03,Inf,0.6393396,0.46987890041078,847.337,955.965,4,0.00604007364017572,0.00604007364017572,0.00928605816736712,0.00705678289972661,0.00632597138605623,0.862
0.03,Inf,0.6393396,0.46987890041078,847.337,955.965,7,0.0114050338364999,0.0114050338364999,0.015126389346818,0.00994141285478933,0.00831389314474992,0.787
0.04,Inf,0.5975932,0.543665598915354,1093.885,918.149,1,0.00133433361003028,0.00133433361003028,0.00402666034074503,0.0038010518691784,0.0035682948480276,0.921
0.04,Inf,0.5975932,0.543665598915354,1093.885,918.149,4,0.00581080341819511,0.00581080341819511,0.00939221241863565,0.00738259578145371,0.00631027257057318,0.869
0.04,Inf,0.5975932,0.543665598915354,1093.885,918.149,7,0.0104057557275234,0.0104057557275234,0.0143503566938992,0.00988689717337892,0.00777963522595085,0.82
0.055,Inf,0.5401988,0.623485217569384,1433.389,865.617,1,0.00131755949250107,0.00131755949250107,0.00431920723474413,0.00411540090939283,0.00382540505159921,0.932
