"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","dispersion","mean_sd","ecr"
0.004,Inf,0.76048,0.106566198462423,127.8,1069.8,1,0.00242534473243039,0.00242534473243039,0.00322153233636377,0.00223506736739375,0.00262793158100256,0.9
0.004,Inf,0.76048,0.106566198462423,127.8,1069.8,4,0.00688165520087367,0.00688165520087367,0.00861071501966676,0.00545560210000316,0.0059757503200748,0.9
0.004,Inf,0.76048,0.106566198462423,127.8,1069.8,7,0.0106171497450077,0.0106171497450077,0.0144851852431788,0.01038678234966,0.00951794065457417,0.9
0.005,Inf,0.75516,0.129051938656386,158.2,1066,1,0.00244924056738942,0.00244924056738942,0.00338967027764904,0.00247006190525916,0.00266071361612147,0.8
0.005,Inf,0.75516,0.129051938656386,158.2,1066,4,0.00687713553755913,0.00687713553755913,0.00876921375036095,0.00573528228478588,0.00600838832447764,0.9
0.005,Inf,0.75516,0.129051938656386,158.2,1066,7,0.0100095141373495,0.0100095141373495,0.0140489701271213,0.0103914060842466,0.00948413167850451,0.9
0.007,Inf,0.74488,0.171205852316057,218.5,1057.1,1,0.0021724773658738,0.0021724773658738,0.00310557932749213,0.00233926984195033,0.00273591079041798,0.9
0.007,Inf,0.74488,0.171205852316057,218.5,1057.1,4,0.00650564901296968,0.00650564901296968,0.00897407262926317,0.00651583630475586,0.00605717313497755,0.9
0.007,Inf,0.74488,0.171205852316057,218.5,1057.1,7,0.0103223383432393,0.0103223383432393,0.014306358640281,0.0104414360800309,0.00939067039506741,0.9
0.01,Inf,0.7308,0.224991800217051,302.9,1043.1,1,0.00235599966972714,0.00235599966972714,0.00322096372480111,0.00231513687445863,0.00282463261553585,0.9
0.01,Inf,0.7308,0.224991800217051,302.9,1043.1,4,0.00599516106101626,0.00599516106101626,0.00813275227576718,0.00579268728958912,0.0061279604167274,0.9
0.01,Inf,0.7308,0.224991800217051,302.9,1043.1,7,0.0114390925235085,0.0114390925235085,0.0148371282341624,0.00996034004749667,0.00928384275748876,0.9
0.014,Inf,0.71056,0.290982078209495,421.2,1026,1,0.00223311805195179,0.00223311805195179,0.00320763864850348,0.00242719075508665,0.00294605692807584,1
0.014,Inf,0.71056,0.290982078209495,421.2,1026,4,0.00597472648626554,0.00597472648626554,0.00892773479299488,0.00699262245738468,0.0061994236897335,0.9
0.014,Inf,0.71056,0.290982078209495,421.2,1026,7,0.0102195299562975,0.0102195299562975,0.0133287019314352,0.00901945444576957,0.00911685036968051,0.9
0.019,Inf,0.68708,0.358626762295714,561.3,1003.3,1,0.00202324706530118,0.00202324706530118,0.00328836486512615,0.00273248255030441,0.00308774045326287,0.9
0.019,Inf,0.68708,0.358626762295714,561.3,1003.3,4,0.00705314751677896,0.00705314751677896,0.0095212456696216,0.00674184521459839,0.00625724241423497,0.9
0.019,Inf,0.68708,0.358626762295714,561.3,1003.3,7,0.0101106352610813,0.0101106352610813,0.0140781780847001,0.0103263499414475,0.0088803265941577,0.9
0.03,Inf,0.63852,0.467789720753464,845.6,961.8,1,0.00160967982069038,0.00160967982069038,0.00361704388310179,0.0034143386096393,0.00335890863789638,0.9
0.03,Inf,0.63852,0.467789720753464,845.6,961.8,4,0.00619773067071075,0.00619773067071075,0.00903283114693621,0.0069266131745121,0.00632378810470477,0.9
0.03,Inf,0.63852,0.467789720753464,845.6,961.8,7,0.010386646057394,0.010386646057394,0.0144497230825039,0.0105888873006599,0.00835008840023111,0.8
0.04,Inf,0.59726,0.540949692195381,1089.4,924.3,1,0.00100920289603786,0.00100920289603786,0.0035094664369995,0.00354304705445198,0.00357444027385045,0.9
0.04,Inf,0.59726,0.540949692195381,1089.4,924.3,4,0.00730635062566196,0.00730635062566196,0.0108696037321971,0.00848302395178373,0.00630364668485348,0.9
0.04,Inf,0.59726,0.540949692195381,1089.4,924.3,7,0.00954358654131139,0.00954358654131139,0.0136045562873471,0.0102200189010531,0.00780659021266567,0.9
0.055,Inf,0.53938,0.622268312851351,1433.2,869.9,1,0.000928411898551473,0.000928411898551473,0.00443609528588296,0.00457250147099922,0.00383093765274872,0.9
0.055,Inf,0.53938,0.622268312851351,1433.2,869.9,4,0.00650079665112814,0.00650079665112814,0.0111485071097788,0.0095468932513538,0.00620179615778124,0.8
0.055,Inf,0.53938,0.622268312851351,1433.2,869.9,7,0.00864141795312135,0.00864141795312135,0.0124322939952347,0.00942147840152845,0.00697145145498708,0.9
0.07,Inf,0.48666,0.680433156208512,1746.5,820.2,1,0.00217899892864065,0.00217899892864065,0.00427911093638413,0.00388197459417887,0.00402502416136261,0.9
0.07,Inf,0.48666,0.680433156208512,1746.5,820.2,4,0.00657664339406545,0.00657664339406545,0.0104851376781879,0.00860786938393842,0.00601618747037204,0.8
0.07,Inf,0.48666,0.680433156208512,1746.5,820.2,7,0.00590588914672637,0.00590588914672637,0.00980890932206049,0.00825531313592679,0.00618237471044615,1
0.1,Inf,0.39998,0.754258381759943,2262.9,737.2,1,0.00131690122727276,0.00131690122727276,0.00398684353360972,0.00396662360188012,0.00435987548658446,0.9
0.1,Inf,0.39998,0.754258381759943,2262.9,737.2,4,0.0043152415022553,0.0043152415022553,0.00974865159240708,0.00921441495383755,0.00549843721801139,1
0.1,Inf,0.39998,0.754258381759943,2262.9,737.2,7,0.00709903899905395,0.00709903899905395,0.010305974844659,0.0078751904942502,0.00482429323710843,1
0.3,10.5,0.29638,0.910584840416427,3203.6,314.5,1,0.00108646592022698,-0.00108646592022698,0.00599580623565287,0.00621550786516,0.00499339233076584,1
0.3,10.5,0.29638,0.910584840416427,3203.6,314.5,4,0.00191789273826921,-0.00191789273826921,0.00689551656131401,0.00698170912630123,0.00247992938969421,1
