"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","n_total","n_success","convergence_rate","failure_rate","bias_conditional","rmse_conditional","ecr_conditional","ecr_unconditional"
0.01,Inf,0.193455,0.0677108459981333,109.24,1503.85,1,100,100,1,0,-0.00211897348456472,0.00766664653151365,0.95,0.95
0.01,Inf,0.193455,0.0677108459981333,109.24,1503.85,6,100,100,1,0,-0.00402108212640448,0.022973150098886,0.97,0.97
0.01,Inf,0.193455,0.0677108459981333,109.24,1503.85,10,100,100,1,0,-0.00182810573687699,0.0445947550248341,0.96,0.96
0.02,Inf,0.175935,0.126309956777436,208.19,1439.94,1,100,100,1,0,-0.00208640066676262,0.00748815364286885,0.98,0.98
0.02,Inf,0.175935,0.126309956777436,208.19,1439.94,6,100,100,1,0,-0.00341480145014127,0.0234212628273061,0.94,0.94
0.02,Inf,0.175935,0.126309956777436,208.19,1439.94,10,100,100,1,0,-4.61436897393587e-05,0.043671461930558,0.96,0.96
0.03,Inf,0.159885,0.179077407229696,300.92,1379.31,1,100,100,1,0,-0.0024227811838797,0.0077382939725347,0.96,0.96
0.03,Inf,0.159885,0.179077407229696,300.92,1379.31,6,100,100,1,0,-0.00308954686188696,0.0240134214307693,0.94,0.94
0.03,Inf,0.159885,0.179077407229696,300.92,1379.31,10,100,100,1,0,0.00189977359981132,0.0448161390397781,0.94,0.94
0.04,Inf,0.14497,0.226790631636261,387.87,1322.19,1,100,100,1,0,-0.00281268354534087,0.00831206445898274,0.96,0.96
0.04,Inf,0.14497,0.226790631636261,387.87,1322.19,6,100,100,1,0,-0.00248833802391094,0.0246017972979382,0.93,0.93
0.04,Inf,0.14497,0.226790631636261,387.87,1322.19,10,100,100,1,0,0.00118878175542111,0.0422950421636982,0.94,0.94
0.05,Inf,0.131245,0.268439534449056,466.45,1271.06,1,100,100,1,0,-0.00268288118775614,0.00849755259108973,0.95,0.95
0.05,Inf,0.131245,0.268439534449056,466.45,1271.06,6,100,100,1,0,-0.00253431176621502,0.0237349746338911,0.95,0.95
0.05,Inf,0.131245,0.268439534449056,466.45,1271.06,10,100,100,1,0,0.000805169617033124,0.0397354644065926,0.97,0.97
0.07,Inf,0.10802,0.342187602085451,610.48,1173.48,1,100,100,1,0,-0.00315157761640932,0.00903708435174251,0.94,0.94
0.07,Inf,0.10802,0.342187602085451,610.48,1173.48,6,100,100,1,0,-0.00196864628243774,0.0216552706813648,0.93,0.93
0.07,Inf,0.10802,0.342187602085451,610.48,1173.48,10,100,100,1,0,0.000649156939849226,0.0368029610815287,0.96,0.96
0.1,Inf,0.08112,0.430111485183301,790.47,1047.29,1,100,100,1,0,-0.00289534322634141,0.00957179579866431,0.97,0.97
0.1,Inf,0.08112,0.430111485183301,790.47,1047.29,6,100,100,1,0,-0.00145347212547295,0.0204673794283779,0.95,0.95
0.1,Inf,0.08112,0.430111485183301,790.47,1047.29,10,100,100,1,0,0.00243369169136954,0.031374433424259,0.96,0.96
0.2,30,0.12235,0.620606006018851,1089.35,665.95,1,100,100,1,0,-0.00095794619971958,0.0110662546027104,0.97,0.97
0.2,30,0.12235,0.620606006018851,1089.35,665.95,6,100,100,1,0,-0.000313958679913678,0.0152439067827142,0.97,0.97
0.2,30,0.12235,0.620606006018851,1089.35,665.95,10,100,100,1,0,0.00305886255000183,0.0229505322772599,0.94,0.94
0.3,12,0.201235,0.723384197058669,1155.61,441.92,1,100,100,1,0,0.000529768979543215,0.0118287549839744,0.96,0.96
0.3,12,0.201235,0.723384197058669,1155.61,441.92,6,100,100,1,0,0.000123077594138719,0.0141318611195622,0.98,0.98
0.3,12,0.201235,0.723384197058669,1155.61,441.92,10,100,100,1,0,3.13100241537868e-05,0.0207365023966709,0.96,0.96
0.5,5,0.317225,0.824600738276107,1126.01,239.54,1,100,100,1,0,-0.00122330952406977,0.0138786536129554,0.92,0.92
0.5,5,0.317225,0.824600738276107,1126.01,239.54,6,100,100,1,0,0.0348750175986498,0.0457899429696399,0.44,0.44
0.5,5,0.317225,0.824600738276107,1126.01,239.54,10,100,100,1,0,0.0792885413224107,0.0846574096210439,0.01,0.01
